sku,product_name,unit_price,unit_of_measure,stock_status,discount_1,discount_2,net_price,supplier_name
A002S3.2,Jobber Drills,10.4,1,Stocked,0.68,0,3.33,Dormer
A002S3.3,Jobber Drills,9.32,1,Stocked,0.68,0,2.98,Dormer
A002S3.5,Jobber Drills,10.92,1,Stocked,0.68,0,3.49,Dormer
A002S3/16,Jobber Drills,13.08,1,Stocked,0.68,0,4.19,Dormer
A002S3/8,Jobber Drills,22.97,1,Stocked,0.68,0,7.35,Dormer
A002S4.0,Jobber Drills,11.95,1,Stocked,0.68,0,3.82,Dormer
A002S4.1,Jobber Drills,13.08,1,Stocked,0.68,0,4.19,Dormer
A002S4.2,Jobber Drills,12.57,1,Stocked,0.68,0,4.02,Dormer
A002S4.5,Jobber Drills,14.01,1,Stocked,0.68,0,4.48,Dormer
A002S5.0,Jobber Drills,14.52,1,Stocked,0.68,0,4.65,Dormer
A002S5.5,Jobber Drills,9.58,1,Stocked,0.68,0,3.07,Dormer
A002S5/16,Jobber Drills,15.76,1,Non-stocked,0.68,0,5.04,Dormer
A002S5/32,Jobber Drills,11.95,1,Stocked,0.68,0,3.82,Dormer
A002S6.0,Jobber Drills,9.58,1,Stocked,0.68,0,3.07,Dormer
A002S6.5,Jobber Drills,11.74,1,Stocked,0.68,0,3.76,Dormer
A002S6.8,Jobber Drills,12.88,1,Stocked,0.68,0,4.12,Dormer
A002S7.0,Jobber Drills,13.6,1,Stocked,0.68,0,4.35,Dormer
A002S7.5,Jobber Drills,14.52,1,Stocked,0.68,0,4.65,Dormer
A002S7/32,Jobber Drills,8.24,1,Non-stocked,0.68,0,2.64,Dormer
A002S8.0,Jobber Drills,15.86,1,Stocked,0.68,0,5.08,Dormer
A002S8.2,Jobber Drills,17.51,1,Stocked,0.68,0,5.60,Dormer
A002S8.5,Jobber Drills,18.33,1,Stocked,0.68,0,5.87,Dormer
A002S9.0,Jobber Drills,21.22,1,Stocked,0.68,0,6.79,Dormer
A002S9.5,Jobber Drills,22.97,1,Stocked,0.68,0,7.35,Dormer
A01211/64,Jobber Drills,5.0,10,Stocked,0.68,0,1.60,Dormer
A012N12,Jobber Drills,6.75,10,Stocked,0.68,0,2.16,Dormer
A080F1EMPTY,Jobber Drills,451.14,1,Non-stocked,0.68,0,144.36,Dormer
A080M1EMPTY,Jobber Drills,451.14,1,Non-stocked,0.68,0,144.36,Dormer
A085002X125,Jobber Drills,1189.65,1,Stocked,0.68,0,380.69,Dormer
A085002X170,Jobber Drills,1606.8,1,Non-stocked,0.68,0,514.18,Dormer
A085100X125,Jobber Drills,1081.5,1,Non-stocked,0.68,0,346.08,Dormer
A087201,Jobber Drills,202.91,1,Stocked,0.68,0,64.93,Dormer
A08910,Jobber Drills,63.35,1,Stocked,0.68,0,20.27,Dormer
A094413,Jobber Drills,82.4,1,Stocked,0.68,0,26.37,Dormer
A094419,Jobber Drills,201.88,1,Stocked,0.68,0,64.60,Dormer
A09518,Jobber Drills,538.69,1,Stocked,0.68,0,172.38,Dormer
A095200,Jobber Drills,333.72,1,Stocked,0.68,0,106.79,Dormer
A095201,Jobber Drills,222.48,1,Stocked,0.68,0,71.19,Dormer
A095202,Jobber Drills,342.99,1,Stocked,0.68,0,109.76,Dormer
A095203,Jobber Drills,735.42,1,Stocked,0.68,0,235.33,Dormer
A095204,Jobber Drills,464.53,1,Stocked,0.68,0,148.65,Dormer
A095206,Jobber Drills,517.06,1,Stocked,0.68,0,165.46,Dormer
A095209,Jobber Drills,1055.75,1,Stocked,0.68,0,337.84,Dormer
A099DRILLBOYXL,Jobber Drills,693.19,1,Stocked,0.68,0,221.82,Dormer
