product_name,supplier_name,sku,unit_price
10kgf Mini Magnetic Stand,Master 01 Apr,,
10mm Metric Dial Depth Indicator,Master 01 Apr,,
300mm Digital Depth Indicator,Master 01 Apr,,
5-700mm Digital Radius Gauge,Master 01 Apr,,
3mm Centering Indicator,Master 01 Apr,,
0-25mm Digital Outside Micrometer,Master 01 Apr,,
25mm Digital Outside Micrometer,Master 01 Apr,,
0-25mm Ip65 Digital Outside Micrometer,Master 01 Apr,,
25-50mm Ip65 Digital Outside Micrometer,Master 01 Apr,,
50-75mm Ip65 Digital Outside Micrometer,Master 01 Apr,,
75-100mm Ip65 Digital Outside Micrometer,Master 01 Apr,,
100-125mm Ip65 Digital Outside Micrometer,Master 01 Apr,,
125-150mm Ip65 Digital Outside Micrometer,Master 01 Apr,,
125-150mm Coolant Proof IP65 Digital Outside Micrometer,Master 01 Apr,,
0-150mm Digital Micrometer With Interchangeable Anvils,Master 01 Apr,,
150-300mm Digital Micrometer With Interchangeable Anvils,Master 01 Apr,,
0-25mm Digital Point Micrometer,Master 01 Apr,,
25-50mm Digital Point Micrometer,Master 01 Apr,,
25mm Metric Outside Micrometer,Master 01 Apr,,
25mm Micrometer Setting Standard,Master 01 Apr,,
25-50mm Metric Outside Micrometer,Master 01 Apr,,
50-75mm Metric Outside Micrometer,Master 01 Apr,,
75mm Metric Outside Micrometer 3 Piece Set,Master 01 Apr,,
75mm Micrometer Setting Standard,Master 01 Apr,,
75-100mm Metric Outside Micrometer,Master 01 Apr,,
100mm Metric Outside Micrometer 4 Piece Set,Master 01 Apr,,
100mm Micrometer Setting Standard,Master 01 Apr,,
100-125mm Metric Outside Micrometer,Master 01 Apr,,
125-150mm Metric Outside Micrometer,Master 01 Apr,,
150mm Metric Outside Micrometer 6 Piece Set,Master 01 Apr,,
150-175mm Metric Outside Micrometer,Master 01 Apr,,
175-200mm Metric Outside Micrometer,Master 01 Apr,,
200-225mm Metric Outside Micrometer,Master 01 Apr,,
225-250mm Metric Outside Micrometer,Master 01 Apr,,
250-275mm Metric Outside Micrometer,Master 01 Apr,,
275-300mm Metric Outside Micrometer,Master 01 Apr,,
150-300mm Metric Outside Micrometer Set,Master 01 Apr,,
0-300mm Outside Micrometer Set,Master 01 Apr,,
25mm Metric Outside Micrometer,Master 01 Apr,,
"1"" Imperial Outside Micrometer",Master 01 Apr,,
"1-2"" Imperial Outside Micrometer",Master 01 Apr,,
"2-3"" Imperial Outside Micrometer",Master 01 Apr,,
"0-3"" 3 Piece Outside Micrometer Set",Master 01 Apr,,
"3-4"" Imperial Outside Micrometer",Master 01 Apr,,
"0-4"" 4 Piece Outside Micrometer Set",Master 01 Apr,,
"4-5"" Imperial Outside Micrometer",Master 01 Apr,,
"5-6"" Imperial Outside Micrometer",Master 01 Apr,,
"6"" Imperial Outside Micrometer 6 Piece Set",Master 01 Apr,,
"6-7"" 3 Piece Outside Micrometer Set",Master 01 Apr,,
"7-8"" 3 Piece Outside Micrometer Set",Master 01 Apr,,
"6-12"" Imperial Outside Micrometer 6 Piece Set",Master 01 Apr,,
"0-12"" 12 Piece Outside Micrometer Set",Master 01 Apr,,
100mm Outside Micrometer with Interchangeable Anvils,Master 01 Apr,,
150mm Outside Micrometer with Interchangeable Anvils,Master 01 Apr,,
100-200mm Outside Micrometer with Interchangeable Anvils,Master 01 Apr,,
150-300mm Outside Micrometer with Interchangeable Anvils,Master 01 Apr,,
375-400mm Micrometer With Interchangeable Anvils,Master 01 Apr,,
"12-16"" Outside Micrometer With Interchangeable Anvils",Master 01 Apr,,
"12-16"" Outside Micrometer With Interchangeable Anvils",Master 01 Apr,,
575-600mm Micrometer With Interchangeable Anvils,Master 01 Apr,,
25mm Outside Blade Micrometer,Master 01 Apr,,
25-50mm Outside Blade Micrometer,Master 01 Apr,,
50-75mm Outside Blade Micrometer,Master 01 Apr,,
75-100mm Outside Blade Micrometer,Master 01 Apr,,
100-125mm Outside Blade Micrometer,Master 01 Apr,,
125-150mm Outside Blade Micrometer,Master 01 Apr,,
300-400mm Metric Outside Micrometer,Master 01 Apr,,
400-500mm Metric Outside Micrometer,Master 01 Apr,,
500-600mm Metric Outside Micrometer,Master 01 Apr,,
600-700mm Metric Outside Micrometer,Master 01 Apr,,
700-800mm Metric Outside Micrometer,Master 01 Apr,,
800-900mm Metric Outside Micrometer,Master 01 Apr,,
900-1000mm Metric Outside Micrometer,Master 01 Apr,,
"0-25mm/0-1"" Digital Spherical Anvil Tube Micrometer, Spherical Anvil, Flat Spindle Tip",Master 01 Apr,,
