product_name,unit_price,supplier_name,sku
200x25xMULTI BORE 38A46KVBE MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,73.2,Norton,
200x25xMULTI BORE 38A60KVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,73.2,Norton,
200x25xMULTI BORE 38A80KVBE FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,73.2,Norton,
200x25xMULTI BORE 38A120KVBE VERY FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,73.2,Norton,
250x25x31.75 38A60KVBE MEDIUM,127.85,Norton,
250x25x50.8mm 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,127.85,Norton,
250x25x76.2mm 38A46JVBE MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,97.27,Norton,
250x25x76.2mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,97.27,Norton,
250x25x76.2mm 3SG46JVH COARSE/MEDIUM,298.31,Norton,
250x25x76.2mm NQ54JVH MEDIUM,230.79,Norton,
250x40x31.75 38A46KVBE MEDIUM,228.81,Norton,
300x25x127mm 38A60JVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,148.59,Norton,
* 300x25x127mm SGA46JVH COARSE,176.07,Norton,
300x25x127mm 3SG46JVH COARSE,264.8,Norton,
300x25x127mm 3SG60JVH MEDIUM,264.8,Norton,
300x32x76.2mm 38A46JVW MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,192.07,Norton,
350x25x127mm 38A46JVBE COARSE,206.0,Norton,
350x25x127mm 38A60KVBE MED/FINE TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,206.0,Norton,
350x25x127mm 3SG54JVH MEDIUM,511.9,Norton,
350x25x127mm SGB46JVH COARSE,393.23,Norton,
350x40x127mm SGB46JVS MEDIUM,549.08,Norton,
350x50x127mm 38A46H12VBEP MEDIUM TOOLROOM GRINDING WHEELS WHITE ALUMINIUM OXIDE,376.26,Norton,
