sku,product_name,supplier_name,unit_price
205 11.500,Jobber drill HSS,Guhring Aus Stock Reseller,
205 11.510,Jobber drill HSS 29/64,Guhring Aus Stock Reseller,
205 11.600,Jobber drill HSS,Guhring Aus Stock Reseller,
205 11.700,Jobber drill HSS,Guhring Aus Stock Reseller,
205 11.800,Jobber drill HSS,Guhring Aus Stock Reseller,
205 11.900,Jobber drill HSS,Guhring Aus Stock Reseller,
205 11.910,Jobber drill HSS 15/32,Guhring Aus Stock Reseller,
205 12.000,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.100,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.200,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.300,Jobber drill HSS 31/64,Guhring Aus Stock Reseller,
205 12.400,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.500,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.600,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.700,Jobber drill HSS 1/2,Guhring Aus Stock Reseller,
205 12.800,Jobber drill HSS,Guhring Aus Stock Reseller,
205 12.900,Jobber drill HSS,Guhring Aus Stock Reseller,
205 13.000,Jobber drill HSS,Guhring Aus Stock Reseller,
205 13.500,Jobber drill HSS,Guhring Aus Stock Reseller,
205 14.000,Jobber drill HSS,Guhring Aus Stock Reseller,
205 14.290,Jobber drill HSS 9/16,Guhring Aus Stock Reseller,
205 14.500,Jobber drill HSS,Guhring Aus Stock Reseller,
205 15.000,Jobber drill HSS,Guhring Aus Stock Reseller,
205 15.200,Jobber drill HSS,Guhring Aus Stock Reseller,
205 15.500,Jobber drill HSS,Guhring Aus Stock Reseller,
205 16.000,Jobber drill HSS,Guhring Aus Stock Reseller,
217 1.000,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 1.500,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 2.000,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 2.500,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 2.700,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 2.800,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 3.000,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 3.170,Long Series Twist drills HSS 1/8,Guhring Aus Stock Reseller,
217 3.300,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 3.400,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 3.500,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 3.570,Long Series Twist drills HSS 9/64,Guhring Aus Stock Reseller,
217 3.970,Long Series Twist drills HSS 5/32,Guhring Aus Stock Reseller,
217 4.000,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 4.200,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 4.370,Long Series Twist drills HSS 11/64,Guhring Aus Stock Reseller,
217 4.500,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 5.000,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 5.500,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 5.560,Long Series Twist drills HSS 7/32,Guhring Aus Stock Reseller,
217 5.800,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 5.950,Long Series Twist drills HSS 15/64,Guhring Aus Stock Reseller,
217 6.000,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
217 6.350,Long Series Twist drills HSS 1/4,Guhring Aus Stock Reseller,
217 6.500,Long Series Twist drills HSS,Guhring Aus Stock Reseller,
